song_id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
deam_2,22.932022,0.1893384,19.65557,23.607199,24.485361,4.829792,124.252335,106.078514,60.294655,62.20378,2.196768,0.28863642,1.5996494,2.2785099,2.742263,1.1426136,13.692037,11.8711195,7.1611156,5.222748,0.0738023,1.7311012,1.3422275,0.66092175,0.5039334,5.647835,5.228539,3.0088153,11.379735,0.94807583,547.50574,0.43551794,1244.2628,0.17739637,-15.369005,-1.7012818,1515.7458,0.18563183,-20.598278,-1.2054678,2511.9434,0.13317023,-24.577692,-0.9761895,-10.336741,-0.41054332,18.023685,0.28891292,-0.025898198,-1.0755835,-0.01074602,-0.86760104,-8.027659,15.973524,-0.024486043,-0.007113962,2.3751388,0.31118026,3.1699998,3.6893823,0.037142854,0.026572961
deam_3,16.164516,0.17861658,14.101058,15.239481,18.985416,4.8843584,85.965515,134.08282,62.976208,78.406204,1.1045696,0.25043386,0.90656006,1.065326,1.2504207,0.34386063,12.319611,9.029257,2.0166557,0.92976373,0.06778198,1.4133445,1.486853,0.88882136,-3.9384463,-1.4033369,6.145433,2.4344816,23.412125,0.4683952,801.2267,0.3255247,1236.4088,0.20623754,-56.03587,-1.2149501,1828.3218,0.16750066,-63.023125,-1.019269,2910.3403,0.10736469,-65.92084,-0.9549273,-22.013674,-0.23517755,31.418015,0.20786345,-0.1041335,-0.32900524,-0.009446305,-0.87456095,-21.117159,30.598803,-0.10457007,-0.008603775,1.8658373,1.9572954,0.4025,0.5483265,0.104520544,0.10601164
deam_4,22.58071,0.32906207,16.054005,23.823282,24.11659,8.062586,299.05396,463.6302,163.71587,233.19925,2.900797,0.28176415,2.3270216,2.9635775,3.5970795,1.2700579,25.180552,15.299894,9.187986,5.0964503,0.097344264,1.5806663,1.3406743,0.71075416,-0.015803188,-190.68216,5.7954245,2.2683933,12.598785,0.88674504,668.4552,0.43687022,1214.7045,0.1782631,-33.354633,-1.6206961,1648.3707,0.17724445,-32.567867,-1.5883292,2635.0286,0.12037946,-36.75213,-1.3725594,-9.416357,-0.5258102,16.380537,0.37076467,-0.030985015,-1.1369054,-0.00831236,-1.1035993,-9.712925,16.78868,-0.05243658,-0.006673061,3.1319413,1.8683275,0.47309524,0.41694182,0.05483333,0.033689342
deam_5,29.905169,0.26454282,22.387814,30.137478,37.95997,15.572155,179.48593,169.98639,111.47691,122.310875,2.6645105,0.33479306,1.8618653,2.5686536,3.431582,1.5697167,18.970291,11.826462,6.277127,4.884828,0.08898408,1.4256477,1.5171769,0.49119657,0.19430399,16.647707,3.6884847,3.2981653,17.51115,0.70578545,571.0935,0.3781823,1333.4281,0.16829641,-6.2741184,-4.7920585,1567.1709,0.19566122,-14.648402,-1.8182647,2577.0686,0.12854595,-19.698376,-1.3224369,-13.316091,-0.374344,20.753632,0.3241024,0.059098206,0.41275805,-0.030152561,-0.3150856,-7.9681554,13.642329,0.054623574,-0.023807585,2.3100843,0.26708212,3.6975,3.3491716,0.03857143,0.03398679
deam_7,18.706436,0.17221217,15.197102,18.928482,21.956436,6.7593346,88.49912,122.27768,51.647667,106.852165,1.8614557,0.30327538,1.3959755,1.7393489,2.301517,0.90554154,27.677616,13.590937,9.323038,4.03831,0.05530479,1.6841305,1.2112186,1.0265507,1.9195415,1.8797425,13.345304,1.2652792,31.65478,0.287953,603.88885,0.46140596,1311.9984,0.14798057,-24.50081,-0.85077775,1678.3469,0.18320893,-36.42851,-0.5053303,2718.385,0.11643751,-40.675716,-0.44489932,-24.986176,-0.2210851,35.658306,0.17798205,-0.08030803,-0.46187714,-0.013010194,-0.64113647,-24.95767,34.760834,-0.05557865,-0.00908755,4.63929,0.37786177,2.6052942,3.1863976,0.041666664,0.0397562
deam_8,17.732082,0.32701865,14.070158,16.118856,19.11688,5.0467224,105.0376,81.01369,80.47908,105.52911,1.0069124,0.4866796,0.6209222,0.8696602,1.3587186,0.7377964,24.384579,13.120694,4.95436,2.0713868,0.08580822,1.4185684,1.4202313,0.68371326,-0.20247822,-17.907398,-12.83833,-3.8989515,19.759737,2.078575,593.2365,0.31162864,1389.2294,0.1665925,-29.45131,-1.3409617,1694.4363,0.19276312,-49.86419,-0.7127705,2894.6375,0.1078059,-59.255325,-0.561843,-31.40756,-0.289009,44.125195,0.25438792,-0.05261072,-0.83538175,-0.031940237,-0.3843821,-31.419796,43.546196,-0.06395139,-0.028138941,2.7524972,1.5114471,0.6148529,0.68022156,0.04352941,0.038031127
deam_10,33.32527,0.4821613,15.195891,35.997982,51.0328,35.836906,424.11426,784.959,214.77519,416.65103,1.3879983,0.528251,0.77858824,1.246049,1.9985008,1.2199125,25.151056,18.349682,5.2086954,3.8083735,0.05475583,2.0330098,1.2756156,0.63209075,2.7304358,2.0246344,1.8697721,11.248959,11.653285,1.690101,645.3661,0.36091802,1275.8744,0.21459514,-33.515038,-1.6755602,1628.0813,0.18725367,-30.415594,-1.541734,2595.9092,0.14076003,-34.67452,-1.3319395,-11.839043,-0.9096405,19.407307,0.64496064,-0.02801256,-1.6548433,-0.018209139,-0.69534856,-13.766068,20.882217,-0.040022183,-0.018574363,2.1309657,1.4447656,0.6312308,0.7637147,0.056744184,0.0530783
deam_12,20.083998,0.38428745,14.822708,16.590975,25.966324,11.143616,201.01807,252.31023,78.32205,69.58478,2.842132,0.4293153,1.7645055,2.7267792,3.7872546,2.022749,43.372864,28.121101,11.933707,7.085817,0.068539076,1.6911191,1.1379954,0.7921665,0.48342612,8.145361,4.81259,3.201142,26.013006,0.5516569,616.6654,0.44701958,1309.7407,0.16648045,-32.689224,-1.9207135,1669.5594,0.1784057,-43.474327,-1.2992089,2676.5027,0.12845278,-45.502182,-1.2292243,-19.355135,-0.40017396,27.600943,0.33935317,-0.015233876,-3.5885825,-0.023141159,-0.40818205,-8.21018,15.022011,0.0036002584,-0.010728061,3.1076581,1.6448101,0.5235135,0.5026617,0.07948276,0.09622928
deam_13,28.616848,0.23043592,25.053429,27.07647,32.090057,7.0366287,134.80107,121.970634,78.90102,88.77478,1.9634756,0.45887512,1.1985991,1.6763039,2.7351189,1.5365198,14.359328,8.668091,5.4887633,4.493702,0.050845236,1.7883654,1.3109499,0.61059064,3.1190903,1.1685333,7.4335265,1.4327347,20.116236,0.48805416,583.3122,0.42888856,1317.5983,0.1604038,-16.530907,-1.4055744,1612.7639,0.19789821,-24.993263,-0.8573278,2631.376,0.12954953,-28.791948,-0.7206451,-16.906887,-0.4241927,25.316467,0.3575376,0.0060459576,6.5895677,-0.02251572,-0.4373792,-4.5620065,10.51936,0.0046713445,-0.017436927,2.108768,0.13336298,7.4199996,5.447048,0.068,0.04791659
deam_17,23.718885,0.282455,20.98492,22.01878,26.996906,6.011986,191.75455,246.73734,87.860825,86.795166,3.317858,0.3561452,2.3140194,3.1867564,4.3299356,2.015916,45.75098,28.018482,13.320453,8.183575,0.07306811,1.5234237,1.3804907,0.6647562,0.5275172,6.8969016,6.52342,2.5328143,16.882683,0.7145652,729.72925,0.36862096,1195.5868,0.20742176,-20.52859,-1.8012758,1761.8127,0.18820913,-24.99659,-1.3716902,2774.778,0.12777749,-27.902845,-1.2033099,-12.225574,-0.48818713,20.04685,0.35347882,-0.023369594,-1.6315342,-0.014742524,-0.7231943,-9.030188,16.757925,-0.022913985,-0.011497763,3.3518314,1.2891754,0.73224133,0.9649532,0.03516129,0.019488782
